1.672874894828e-05  4.160829625448e+01
1.782751682446e-05  4.392397879617e+01
1.899845332780e-05  4.652227502465e+01
2.024629859574e-05  4.943223086819e+01
2.157610410464e-05  5.268084944016e+01
2.299325311898e-05  5.628953251395e+01
2.450348248366e-05  6.026854111709e+01
2.611290584764e-05  6.460869896241e+01
2.782803841300e-05  6.926948282607e+01
2.965582330952e-05  7.418989214060e+01
3.160365970152e-05  7.934422203252e+01
3.367943274091e-05  8.471438891285e+01
3.589154548754e-05  9.028642274307e+01
3.824895292607e-05  9.605842363172e+01
4.076119821725e-05  1.020525101812e+02
4.343845133008e-05  1.083321852857e+02
4.629155021153e-05  1.150264748535e+02
4.933204466023e-05  1.222769461410e+02
5.257224308190e-05  1.301306993319e+02
5.602526231577e-05  1.386211014314e+02
5.970508073359e-05  1.477792890034e+02
6.362659482633e-05  1.576337768330e+02
6.780567950755e-05  1.682105987989e+02
7.225925237756e-05  1.795343888657e+02
7.700534220858e-05  1.916306489053e+02
8.206316192806e-05  2.045170613844e+02
8.745318639569e-05  2.181959701928e+02
9.319723528889e-05  2.326676507648e+02
9.931856143231e-05  2.479386591322e+02
1.058419449290e-04  2.640345846493e+02
1.127937934743e-04  2.810200813553e+02
1.202022492581e-04  2.990290956393e+02
1.280973028893e-04  3.182984699568e+02
1.365109148022e-04  3.390091727437e+02
1.454771446378e-04  3.612183557139e+02
1.550322891223e-04  3.849752026523e+02
1.652150290023e-04  4.103304585610e+02
1.760665856304e-04  4.373460162443e+02
1.876308878359e-04  4.661113272805e+02
1.999547497559e-04  4.967696988904e+02
2.130880603460e-04  5.295398478648e+02
2.270839853389e-04  5.645537855945e+02
2.419991824679e-04  6.018497062934e+02
2.578940308262e-04  6.414621805595e+02
2.748328752912e-04  6.834404770274e+02
2.928842870029e-04  7.278777234574e+02
3.121213409506e-04  7.749573548471e+02
3.326219117922e-04  8.250240064327e+02
3.544689891033e-04  8.786063943300e+02
3.777510133319e-04  9.359677692602e+02
4.025622338198e-04  9.971979583847e+02
4.290030903387e-04  1.062379864120e+03
4.571806196867e-04  1.131612344180e+03
4.872088889898e-04  1.205049646559e+03
5.192094574641e-04  1.282965449834e+03
5.533118685071e-04  1.365851912143e+03
5.896541741095e-04  1.454388509719e+03
6.283834937118e-04  1.548822753483e+03
6.696566097676e-04  1.649222859648e+03
7.136406024234e-04  1.755649204105e+03
7.605135258861e-04  1.868201313093e+03
8.104651292143e-04  1.987097603116e+03
8.636976244532e-04  2.112801696216e+03
9.204265052209e-04  2.246213760728e+03
9.808814190609e-04  2.388452849798e+03
1.045307097092e-03  2.539785183126e+03
1.113964344718e-03  2.700237636261e+03
1.187131097413e-03  2.869814262610e+03
1.265103545842e-03  3.048570926173e+03
1.348197334893e-03  3.236741759079e+03
1.436748841459e-03  3.434938822566e+03
1.531116536139e-03  3.644445595830e+03
1.631682434390e-03  3.866589261744e+03
1.738853642982e-03  4.101364292490e+03
1.853064008036e-03  4.348480101262e+03
1.974775871298e-03  4.607598017756e+03
2.104481941772e-03  4.878465373760e+03
2.242707290288e-03  5.161136543685e+03
2.390011475070e-03  5.456314266338e+03
2.546990806915e-03  5.765804568629e+03
2.714280763158e-03  6.090958930345e+03
2.892558560183e-03  6.431024486143e+03
3.082545894903e-03  6.784875553131e+03
3.285011866305e-03  7.151284353026e+03
3.500776088885e-03  7.529140321415e+03
3.730712010576e-03  7.917800263839e+03
3.975750448606e-03  8.317614098548e+03
4.236883357596e-03  8.730492215513e+03
4.515167845147e-03  9.156812352604e+03
4.811730451181e-03  9.594080635693e+03
5.127771708356e-03  1.003936814896e+04
